user_id,min_price_usd,max_price_usd,avg_price_usd,best_product_id
b02fdb0c-798e-4bc2-99ae-508da9cc9b25,0.16,43.61,16.48,f51decca-d770-4b3b-a3ff-53ade9b30b5a
fbad5ca7-da41-45b3-aac2-44026e5f2d83,0.14,44.34,14.04,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
82e9cff7-6f38-4863-a0f0-2d612020c9f0,0.02,44.45,14.99,4f8a1ad4-1278-4a88-a914-dce97e8ae4f2
ac391639-eb88-4da0-9d3c-2db9a94f3a6b,0.08,38.97,14.13,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
488688be-fc79-490a-b118-46fc5155097d,0.12,41.17,14.85,46271d74-0ae8-437e-b9aa-c5a520303853
c179dc55-1746-4fb8-a789-3896d2d7534c,0.09,40.91,13.8,46271d74-0ae8-437e-b9aa-c5a520303853
41326e52-85b1-4926-9c6d-76ce9a5de210,0.21,37.53,14.93,4f8a1ad4-1278-4a88-a914-dce97e8ae4f2
a0adfaab-5f8c-403b-b9c9-a77d9f54003e,0.24,38.0,14.06,7eba46b5-8818-41b2-9069-a4bb25fef390
02f498ef-cffa-45de-acc9-c7534be066e4,0.02,39.11,9.68,2e2c57f9-a913-46dc-a2f5-5e6dcfb9a970
8a67e5d6-6fb1-4f0f-bc10-4d46e4f99e2a,0.03,27.51,10.82,e1a85301-d2a3-4c0c-9b95-0f23c4cc0fb1
2a90a965-bb20-4722-8059-60538465d747,1.23,25.12,12.0,f0ca88c0-7159-489e-ba9f-f71294cd94d6
88d84b99-0fde-4e72-9a81-3c52b63026c0,0.32,42.2,12.79,a053d482-7d48-45ea-a2a2-506a3c753bf9
83e91f49-090a-40c7-804d-bcfe4f1dda11,0.17,44.69,12.91,2c8a0f1d-9248-493b-a1a6-e6c305cd26ed
bef2af24-bc1f-431d-9cb0-f77425867817,0.45,31.12,11.12,f0ca88c0-7159-489e-ba9f-f71294cd94d6
d91101b0-23c6-4f06-8bd2-3770258e6309,0.04,44.95,14.41,d1a83293-aca8-42f1-bca6-7f6d23f3e1ba
f4f22cb6-45e0-4cb3-bb95-4c39b5a14fa9,1.36,30.92,12.81,1a777ca4-de24-40b2-b4e8-d2907977a828
6af8dc03-5ecc-4cff-a80d-e2c67422c551,0.04,44.91,12.91,85e191f3-7458-45dd-b816-159b7e1af8c7
f4edc819-d1c8-4759-89e3-3aefaaffa334,0.19,32.31,11.06,7eba46b5-8818-41b2-9069-a4bb25fef390
274a4d22-7f84-4ff7-843d-2d0bff20deca,0.14,35.25,11.0,1a777ca4-de24-40b2-b4e8-d2907977a828
